Params [lbd-U: 0.1000|lbd-V: 0.1000|lbd-N: 0.1000|lbd-Q: 0.1000|lbd-scale: 1.0000]
Staring Sample 1 - Loc: save/pretrain/data/lastfm/vmodel/shallow 
Train DAE - Item side ...
datalink: data/lastfm/data_item/
doing pretrain from scratch
Training DAE (1)
Epoch 237/500 - recon_error: 5.614871 norms: 0.000082/0.000278/0.153252
Epoch 238/500 - recon_error: 5.610694 norms: 0.000081/0.000279/0.154020
Epoch 239/500 - recon_error: 5.606526 norms: 0.000081/0.000280/0.154788
Epoch 240/500 - recon_error: 5.602368 norms: 0.000081/0.000281/0.155556
Epoch 241/500 - recon_error: 5.598219 norms: 0.000081/0.000282/0.156324
Epoch 242/500 - recon_error: 5.594080 norms: 0.000081/0.000284/0.157093
Epoch 243/500 - recon_error: 5.589949 norms: 0.000080/0.000285/0.157861
Epoch 244/500 - recon_error: 5.585828 norms: 0.000080/0.000286/0.158630
Epoch 245/500 - recon_error: 5.581716 norms: 0.000080/0.000287/0.159399
Epoch 246/500 - recon_error: 5.577612 norms: 0.000080/0.000288/0.160168
Epoch 247/500 - recon_error: 5.573517 norms: 0.000080/0.000290/0.160938
Epoch 248/500 - recon_error: 5.569432 norms: 0.000079/0.000291/0.161707
Epoch 249/500 - recon_error: 5.565354 norms: 0.000079/0.000292/0.162477
Epoch 250/500 - recon_error: 5.561285 norms: 0.000079/0.000293/0.163246
Epoch 251/500 - recon_error: 5.557225 norms: 0.000079/0.000295/0.164016
Epoch 252/500 - recon_error: 5.553173 norms: 0.000079/0.000296/0.164786
Epoch 253/500 - recon_error: 5.549130 norms: 0.000078/0.000297/0.165556
Epoch 254/500 - recon_error: 5.545095 norms: 0.000078/0.000298/0.166326
Epoch 255/500 - recon_error: 5.541068 norms: 0.000078/0.000299/0.167097
Epoch 256/500 - recon_error: 5.537050 norms: 0.000078/0.000301/0.167867
Epoch 257/500 - recon_error: 5.533039 norms: 0.000078/0.000302/0.168638
Epoch 258/500 - recon_error: 5.529037 norms: 0.000078/0.000303/0.169409
Epoch 259/500 - recon_error: 5.525042 norms: 0.000077/0.000304/0.170180
Epoch 260/500 - recon_error: 5.521056 norms: 0.000077/0.000306/0.170951
Epoch 261/500 - recon_error: 5.517078 norms: 0.000077/0.000307/0.171722
Epoch 262/500 - recon_error: 5.513107 norms: 0.000077/0.000308/0.172493
Epoch 263/500 - recon_error: 5.509144 norms: 0.000077/0.000309/0.173264
Epoch 264/500 - recon_error: 5.505190 norms: 0.000077/0.000310/0.174036
Epoch 265/500 - recon_error: 5.501242 norms: 0.000076/0.000312/0.174807
Epoch 266/500 - recon_error: 5.497303 norms: 0.000076/0.000313/0.175579
Epoch 267/500 - recon_error: 5.493371 norms: 0.000076/0.000314/0.176351
Epoch 268/500 - recon_error: 5.489447 norms: 0.000076/0.000315/0.177123
Epoch 269/500 - recon_error: 5.485531 norms: 0.000076/0.000317/0.177895
Epoch 270/500 - recon_error: 5.481622 norms: 0.000076/0.000318/0.178667
Epoch 271/500 - recon_error: 5.477721 norms: 0.000075/0.000319/0.179439
Epoch 272/500 - recon_error: 5.473827 norms: 0.000075/0.000320/0.180211
Epoch 273/500 - recon_error: 5.469940 norms: 0.000075/0.000322/0.180983
Epoch 274/500 - recon_error: 5.466061 norms: 0.000075/0.000323/0.181756
Epoch 275/500 - recon_error: 5.462190 norms: 0.000075/0.000324/0.182528
Epoch 276/500 - recon_error: 5.458326 norms: 0.000075/0.000325/0.183301
Epoch 277/500 - recon_error: 5.454469 norms: 0.000074/0.000326/0.184073
Epoch 278/500 - recon_error: 5.450620 norms: 0.000074/0.000328/0.184846
Epoch 279/500 - recon_error: 5.446778 norms: 0.000074/0.000329/0.185619
Epoch 280/500 - recon_error: 5.442943 norms: 0.000074/0.000330/0.186392
Epoch 281/500 - recon_error: 5.439115 norms: 0.000074/0.000331/0.187165
Epoch 282/500 - recon_error: 5.435295 norms: 0.000074/0.000333/0.187938
Epoch 283/500 - recon_error: 5.431482 norms: 0.000074/0.000334/0.188711
Epoch 284/500 - recon_error: 5.427677 norms: 0.000073/0.000335/0.189484
Epoch 285/500 - recon_error: 5.423878 norms: 0.000073/0.000336/0.190257
Epoch 286/500 - recon_error: 5.420087 norms: 0.000073/0.000338/0.191031
Epoch 287/500 - recon_error: 5.416303 norms: 0.000073/0.000339/0.191804
Epoch 288/500 - recon_error: 5.412526 norms: 0.000073/0.000340/0.192577
Epoch 289/500 - recon_error: 5.408756 norms: 0.000073/0.000341/0.193351
Epoch 290/500 - recon_error: 5.404993 norms: 0.000073/0.000342/0.194125
Epoch 291/500 - recon_error: 5.401238 norms: 0.000072/0.000344/0.194898
Epoch 292/500 - recon_error: 5.397490 norms: 0.000072/0.000345/0.195672
Epoch 293/500 - recon_error: 5.393748 norms: 0.000072/0.000346/0.196445
Epoch 294/500 - recon_error: 5.390014 norms: 0.000072/0.000347/0.197219
Epoch 295/500 - recon_error: 5.386287 norms: 0.000072/0.000349/0.197993
Epoch 296/500 - recon_error: 5.382568 norms: 0.000072/0.000350/0.198767
Epoch 297/500 - recon_error: 5.378855 norms: 0.000072/0.000351/0.199541
Epoch 298/500 - recon_error: 5.375149 norms: 0.000071/0.000352/0.200315
Epoch 299/500 - recon_error: 5.371451 norms: 0.000071/0.000354/0.201089
Epoch 300/500 - recon_error: 5.367759 norms: 0.000071/0.000355/0.201863
Epoch 301/500 - recon_error: 5.364075 norms: 0.000071/0.000356/0.202637
Epoch 302/500 - recon_error: 5.360398 norms: 0.000071/0.000357/0.203411
Epoch 303/500 - recon_error: 5.356728 norms: 0.000071/0.000358/0.204185
Epoch 304/500 - recon_error: 5.353065 norms: 0.000071/0.000360/0.204959
Epoch 305/500 - recon_error: 5.349409 norms: 0.000071/0.000361/0.205733
Epoch 306/500 - recon_error: 5.345760 norms: 0.000070/0.000362/0.206507
Epoch 307/500 - recon_error: 5.342118 norms: 0.000070/0.000363/0.207282
Epoch 308/500 - recon_error: 5.338484 norms: 0.000070/0.000365/0.208056
Epoch 309/500 - recon_error: 5.334856 norms: 0.000070/0.000366/0.208830
Epoch 310/500 - recon_error: 5.331236 norms: 0.000070/0.000367/0.209605
Epoch 311/500 - recon_error: 5.327622 norms: 0.000070/0.000368/0.210379
Epoch 312/500 - recon_error: 5.324016 norms: 0.000070/0.000370/0.211153
Epoch 313/500 - recon_error: 5.320417 norms: 0.000070/0.000371/0.211928
Epoch 314/500 - recon_error: 5.316825 norms: 0.000070/0.000372/0.212702
Epoch 315/500 - recon_error: 5.313240 norms: 0.000069/0.000373/0.213477
Epoch 316/500 - recon_error: 5.309662 norms: 0.000069/0.000375/0.214251
Epoch 317/500 - recon_error: 5.306092 norms: 0.000069/0.000376/0.215025
Epoch 318/500 - recon_error: 5.302528 norms: 0.000069/0.000377/0.215800
Epoch 319/500 - recon_error: 5.298972 norms: 0.000069/0.000378/0.216574
Epoch 320/500 - recon_error: 5.295423 norms: 0.000069/0.000379/0.217349
Epoch 321/500 - recon_error: 5.291880 norms: 0.000069/0.000381/0.218123
Epoch 322/500 - recon_error: 5.288346 norms: 0.000069/0.000382/0.218898
Epoch 323/500 - recon_error: 5.284818 norms: 0.000069/0.000383/0.219672
Epoch 324/500 - recon_error: 5.281297 norms: 0.000068/0.000384/0.220447
Epoch 325/500 - recon_error: 5.277784 norms: 0.000068/0.000386/0.221222
Epoch 326/500 - recon_error: 5.274277 norms: 0.000068/0.000387/0.221996
Epoch 327/500 - recon_error: 5.270778 norms: 0.000068/0.000388/0.222771
Epoch 328/500 - recon_error: 5.267286 norms: 0.000068/0.000389/0.223545
Epoch 329/500 - recon_error: 5.263802 norms: 0.000068/0.000391/0.224320
Epoch 330/500 - recon_error: 5.260324 norms: 0.000068/0.000392/0.225094
Epoch 331/500 - recon_error: 5.256854 norms: 0.000068/0.000393/0.225869
Epoch 332/500 - recon_error: 5.253391 norms: 0.000068/0.000394/0.226643
Epoch 333/500 - recon_error: 5.249935 norms: 0.000068/0.000396/0.227418
Epoch 334/500 - recon_error: 5.246486 norms: 0.000067/0.000397/0.228192
